Curso["Habilitação", "1856", "CIÊNCIA DA COMPUTAÇÃO                                                 "]
["Nível", "2", "GR"]
["Currículo vigente em", "20160", ""]
["Reconhecida pelo MEC", "Sim", ""]
["Duração", "Plena", ""]
["Créditos por período", "Mínimo 16", "Máximo 30"]
["Limite de permanência semestral", "Mínimo 8", "Máximo 14"]
["Créditos exigidos", "214", ""]
["Módulo livre", "24", ""]
Obrigatórias
[Código, Disciplina, Créditos, Área]
["", "116645", "PROGRAMACAO EM LOGICA           ", "004 000 000 004", "AC"]
["", "116637", "PROGRAMACAO FUNCIONAL           ", "004 000 000 004", "AC"]
["", "117064", "PROGRAMACAO INTEIRA E DINAMICA  ", "004 000 000 006", "DC"]
["", "113956", "PROGRAMACAO SISTEMATICA         ", "002 002 000 004", "AC"]
["", "116581", "PROJ DE SISTEMAS OPERACIONAIS   ", "004 000 000 004", "AC"]
["", "316393", "PROJ E COMPL DE ALGORITMOS      ", "004 000 000 004", "AC"]
["", "117404", "QUALIDADE DE SOFTWARE           ", "004 000 000 004", "AC"]
["", "206075", "SINAIS E SISTEMAS               ", "003 001 000 004", "AC"]
["", "116513", "SINTESE DE AUDIO                ", "004 000 000 004", "AC"]
["", "117391", "SIS DIGITAIS INTEGRADOS         ", "002 002 000 004", "AC"]
["", "204366", "SISTEMAS DE REDES MULTIMÍDIA    ", "002 002 000 004", "AC"]
["", "316440", "SISTEMAS DISTRIBUÍDOS           ", "004 000 000 004", "AC"]
["", "316563", "SISTEMAS MULTIAGENTES           ", "002 002 000 004", "AC"]
["", "116467", "SISTEMAS OPERACIONAIS           ", "006 000 000 006", "AC"]
["", "116297", "T AVANCADOS EM COMPUTADERES     ", "004 000 000 004", "AC"]
["", "204315", "TELEINFORMÁTICA E REDES 1       ", "002 002 000 004", "AC"]
["", "204323", "TELEINFORMÁTICA E REDES 2       ", "002 002 000 004", "AC"]
["", "316296", "TEORIA DA COMPUTAÇÃO            ", "004 000 000 004", "AC"]
["", "113115", "TEORIA DOS NÚMEROS 1            ", "002 002 000 006", "DC"]
["", "117323", "TEORIA DOS NÚMEROS 2            ", "004 000 000 006", "DC"]
["", "117382", "TOP ESP EM LÓG COMPUTACIONAL    ", "004 000 000 004", "AC"]
["", "110141", "TÓP ESPECIAIS EM PROGRAMAÇÃO    ", "004 000 000 000", "AC"]
["", "116459", "TRADUTORES                      ", "004 002 000 006", "AC"]
["", "113069", "VARIAVEL COMPLEXA 1             ", "004 002 000 006", "AC"]
